Date,High,Low,Open,Close,Volume,Adj Close
2009/12/31,313.0130005,310.300293,312.6876831,310.300293,2437100,310.300293
2010/1/4,315.07006839999997,312.4324341,313.7887878,313.6886902,3908400,313.6886902
2010/1/5,314.23422239999996,311.0810852,313.90390010000004,312.307312,6003300,312.307312
2010/1/6,313.24325560000005,303.48349,313.24325560000005,304.43444819999996,7949400,304.43444819999996
2010/1/7,305.30529789999997,296.6216125,305.00500489999996,297.3473511,12815700,297.3473511
2010/1/8,301.9269409,294.8498535,296.29629520000003,301.3113098,9439100,301.3113098
2010/1/11,302.5325317,297.31732180000006,302.5325317,300.8558655,14411300,300.8558655
2010/1/12,299.3793945,294.294281,299.124115,295.5355225,9696800,295.5355225
2010/1/13,294.48449710000006,287.23724369999996,288.53353880000003,293.8388367,12980200,293.8388367
2010/1/14,297.3973999,291.6966858,292.24224849999996,295.2202148,8471700,295.2202148
2010/1/15,297.0770874,289.3092957,296.96698,290.2902832,10858100,290.2902832
2010/1/19,295.5054932,288.4334412,290.8908997,294.1040955,8624700,294.1040955
2010/1/20,293.28329469999994,287.9329224,293.28329469999994,290.49548339999996,6494800,290.49548339999996
2010/1/21,293.70370479999997,286.4114075,292.0120239,291.7817688,12602700,291.7817688
2010/1/22,285.5855713,267.6976929,282.5325317,275.2802734,13587100,275.2802734
2010/1/25,275.21521,268.0230103,273.568573,270.2702637,8830900,270.2702637
2010/1/26,275.07507319999996,268.4134216,269.25424189999995,271.4814758,8702200,271.4814758
2010/1/27,274.09909060000007,267.9229126,270.9059143,271.32131960000004,7920800,271.32131960000004
2010/1/28,273.7737732,265.56555180000004,272.5175171,267.4124146,6451700,267.4124146
2010/1/29,270.76577760000004,263.0680542,269.5145264,265.2352295,8272700,265.2352295
2010/2/1,268.1731873,265.41540530000003,267.5675659,266.7767639,4497000,266.7767639
2010/2/2,267.7477417,264.0690613,267.7477417,265.82583619999997,8184200,265.82583619999997
2010/2/3,271.32131960000004,264.3793945,264.5996094,270.68069460000004,5992200,270.68069460000004
2010/2/4,269.2692566,263.0430298,268.76876830000003,263.653656,6748600,263.653656
2010/2/5,267.0170288,261.49148560000003,264.4644775,265.91091919999997,6305600,265.91091919999997
2010/2/8,271.2712708,266.0310364,266.51651,267.0020142,5383200,267.0020142
2010/2/9,271.0360413,267.8027954,270.0400391,268.4884949,5633500,268.4884949
2010/2/10,269.1641541,264.1091003,267.3023071,267.49249269999996,5343600,267.49249269999996
2010/2/11,270.51550289999994,265.0150146,266.9269409,268.4684753,4815100,268.4684753
2010/2/12,268.8438416,265.5155029,266.7517395,266.8268127,4554800,266.8268127
2010/2/16,272.3373413,267.4174194,268.70370479999997,270.920929,7301400,270.920929
2010/2/17,271.9719849,269.0740662,271.2712708,269.3743591,4055300,269.3743591
2010/2/18,272.777771,268.33834840000003,269.03903199999996,271.88189700000004,4669100,271.88189700000004
2010/2/19,272.2872925,270.1201172,270.5355225,270.6506653,5101000,270.6506653
2010/2/22,274.02401729999997,270.7707825,273.9489441,271.67166139999995,4284900,271.67166139999995
2010/2/23,272.0870972,266.4114075,271.771759,267.8027954,5739400,267.8027954
2010/2/24,269.489502,265.5205078,267.25726319999995,266.0010071,4648500,266.0010071
2010/2/25,264.5095215,260.2602539,263.823822,263.4784851,6611700,263.4784851
2010/2/26,266.1411438,262.0020142,263.9739685,263.66366580000005,4094500,263.66366580000005
2010/3/1,266.9119263,264.1341248,264.8648682,266.6116028,4471300,266.6116028
2010/3/2,273.10308839999993,267.7727661,268.00799559999996,270.8008118,8704800,270.8008118
2010/3/3,274.3343201,269.8948975,271.4514465,272.9329224,6172600,272.9329224
2010/3/4,278.34335330000005,273.3733826,273.5235291,277.5725708,6361200,277.5725708
2010/3/5,284.1191101,280.23022460000004,280.9559631,282.3873901,7816500,282.3873901
2010/3/8,282.8728638,280.7857971,282.6726685,281.5215149,4768000,281.5215149
2010/3/9,282.6126099,278.52853389999996,280.2052002,280.3753662,6346800,280.3753662
2010/3/10,289.5395508,281.38638310000005,282.1621704,288.5135193,11298400,288.5135193
2010/3/11,293.39840699999996,287.3873901,287.41741939999997,290.8608704,8458100,290.8608704
2010/3/12,294.43444819999996,289.869873,294.3643494,290.0600586,5501200,290.0600586
2010/3/15,285.01000980000003,278.2782898,283.6236267,281.87185669999997,9298400,281.87185669999997
2010/3/16,284.4945068,280.660675,281.1961975,282.88287349999996,6856100,282.88287349999996
2010/3/17,286.0110168,282.4074097,284.43444819999996,283.06304930000005,6636500,283.06304930000005
2010/3/18,284.50451660000004,281.7617493,282.6426392,283.48349,3550800,283.48349
2010/3/19,284.2842712,278.9189148,280.2802734,280.2802734,9578800,280.2802734
